scheme,pol,orbit,k,n_cities_agreement,spearman_delta_vs_ob_built,spearman_p
both_thinned,vh_db_mean,ASCENDING,1,549,0.22836099036412932,6.298217965613338e-08
both_thinned,vh_db_mean,ASCENDING,2,549,0.21317589729444383,4.6177512388139817e-07
both_thinned,vh_db_mean,ASCENDING,3,549,0.2039322942455172,1.449177956745359e-06
both_thinned,vh_db_mean,ASCENDING,4,549,0.21653544720395718,3.008305760777325e-07
both_thinned,vh_db_mean,ASCENDING,6,549,0.21355986139581284,4.39857164529623e-07
both_thinned,vh_db_mean,ASCENDING,8,549,0.2129264239714276,4.7657492593362244e-07
both_thinned,vh_db_mean,ASCENDING,12,549,0.21547072552027624,3.448487416766708e-07
both_thinned,vh_db_mean,ASCENDING,16,549,0.21412766703027664,4.092696396412842e-07
both_thinned,vh_db_mean,DESCENDING,1,561,0.2479050853745095,2.6521243579987007e-09
both_thinned,vh_db_mean,DESCENDING,2,561,0.24328806201156317,5.300142625282149e-09
both_thinned,vh_db_mean,DESCENDING,3,561,0.24915308382868245,2.194162609691444e-09
both_thinned,vh_db_mean,DESCENDING,4,561,0.2558245605885089,7.826587194989954e-10
both_thinned,vh_db_mean,DESCENDING,6,561,0.24794620502731285,2.6356546979314954e-09
both_thinned,vh_db_mean,DESCENDING,8,561,0.2427921793886656,5.704555445664438e-09
both_thinned,vh_db_mean,DESCENDING,12,561,0.24172286451667435,6.6810820763473015e-09
both_thinned,vh_db_mean,DESCENDING,16,561,0.2376804967974505,1.2060019542102414e-08
both_thinned,vv_db_mean,ASCENDING,1,549,0.3281039059291218,3.030433600623331e-15
both_thinned,vv_db_mean,ASCENDING,2,549,0.32204308208480964,1.0296602072406422e-14
both_thinned,vv_db_mean,ASCENDING,3,549,0.3052677416235255,2.639983079293188e-13
both_thinned,vv_db_mean,ASCENDING,4,549,0.3004814073660409,6.417672083192756e-13
both_thinned,vv_db_mean,ASCENDING,6,549,0.3169170942493174,2.835931194958673e-14
both_thinned,vv_db_mean,ASCENDING,8,549,0.31106266606701233,8.809919952923416e-14
both_thinned,vv_db_mean,ASCENDING,12,549,0.3132641956213155,5.769374360327849e-14
both_thinned,vv_db_mean,ASCENDING,16,549,0.31841005429707125,2.115501323924282e-14
both_thinned,vv_db_mean,DESCENDING,1,561,0.3126647664063043,3.457071388708565e-14
both_thinned,vv_db_mean,DESCENDING,2,561,0.3294451529843943,1.143897808680129e-15
both_thinned,vv_db_mean,DESCENDING,3,561,0.3308138597086146,8.580804199982104e-16
both_thinned,vv_db_mean,DESCENDING,4,561,0.32369774696756615,3.765832760753096e-15
both_thinned,vv_db_mean,DESCENDING,6,561,0.33684760803496405,2.3745166880234377e-16
both_thinned,vv_db_mean,DESCENDING,8,561,0.33061329095585007,8.950845051432097e-16
both_thinned,vv_db_mean,DESCENDING,12,561,0.3338681323659299,4.493990359758412e-16
both_thinned,vv_db_mean,DESCENDING,16,561,0.33164070456180283,7.207669256856158e-16
end_thinned,vh_db_mean,ASCENDING,1,549,0.21822479497227146,2.418818369496436e-07
end_thinned,vh_db_mean,ASCENDING,2,549,0.2039265650616456,1.4501823676584904e-06
end_thinned,vh_db_mean,ASCENDING,3,549,0.22635729895668316,8.259103264072907e-08
end_thinned,vh_db_mean,ASCENDING,4,549,0.20765956348187756,9.194828061403758e-07
end_thinned,vh_db_mean,ASCENDING,6,549,0.2197235567252117,1.9903653922569657e-07
end_thinned,vh_db_mean,ASCENDING,8,549,0.21638717737578667,3.0661889206503067e-07
end_thinned,vh_db_mean,ASCENDING,12,549,0.21314126836661235,4.638027087943695e-07
end_thinned,vh_db_mean,ASCENDING,16,549,0.2156947076011296,3.351023921563495e-07
end_thinned,vh_db_mean,DESCENDING,1,561,0.24995420341148042,1.941720977764628e-09
end_thinned,vh_db_mean,DESCENDING,2,561,0.24701921173047894,3.0322172658069166e-09
end_thinned,vh_db_mean,DESCENDING,3,561,0.23945142848909245,9.322768967803873e-09
end_thinned,vh_db_mean,DESCENDING,4,561,0.24177502870432155,6.629894419939815e-09
end_thinned,vh_db_mean,DESCENDING,6,561,0.24679149041359041,3.1381681235521617e-09
end_thinned,vh_db_mean,DESCENDING,8,561,0.23957322422103222,9.15847461797107e-09
end_thinned,vh_db_mean,DESCENDING,12,561,0.24632085729650516,3.3686507738948273e-09
end_thinned,vh_db_mean,DESCENDING,16,561,0.2438512993054163,4.8745099415552436e-09
end_thinned,vv_db_mean,ASCENDING,1,549,0.3052347081646203,2.656366608796893e-13
end_thinned,vv_db_mean,ASCENDING,2,549,0.31051114146772796,9.790131024532809e-14
end_thinned,vv_db_mean,ASCENDING,3,549,0.3282380341009004,2.948588569656731e-15
end_thinned,vv_db_mean,ASCENDING,4,549,0.3136641506726046,5.340292882582691e-14
end_thinned,vv_db_mean,ASCENDING,6,549,0.3145611668157405,4.488532024291461e-14
end_thinned,vv_db_mean,ASCENDING,8,549,0.31015527937585574,1.0478521522266053e-13
end_thinned,vv_db_mean,ASCENDING,12,549,0.3198953270854531,1.5778954848897056e-14
end_thinned,vv_db_mean,ASCENDING,16,549,0.31590502304020324,3.456011539582712e-14
end_thinned,vv_db_mean,DESCENDING,1,561,0.3217481656769266,5.609242669509528e-15
end_thinned,vv_db_mean,DESCENDING,2,561,0.33661332796353755,2.497294672600939e-16
end_thinned,vv_db_mean,DESCENDING,3,561,0.32670845318282044,2.023767433930684e-15
end_thinned,vv_db_mean,DESCENDING,4,561,0.34841623154456147,1.86635834004645e-17
end_thinned,vv_db_mean,DESCENDING,6,561,0.3314113520520759,7.565279232164734e-16
end_thinned,vv_db_mean,DESCENDING,8,561,0.33504313494058086,3.497277371378783e-16
end_thinned,vv_db_mean,DESCENDING,12,561,0.33403828616889375,4.3340190509417654e-16
end_thinned,vv_db_mean,DESCENDING,16,561,0.3310006312886205,8.249756563172182e-16
start_thinned,vh_db_mean,ASCENDING,1,549,0.22723433547758332,7.337388543275893e-08
start_thinned,vh_db_mean,ASCENDING,2,549,0.21122967902900067,5.900338246302748e-07
start_thinned,vh_db_mean,ASCENDING,3,549,0.21387340730048163,4.227046182466701e-07
start_thinned,vh_db_mean,ASCENDING,4,549,0.21409916615354835,4.10754916401227e-07
start_thinned,vh_db_mean,ASCENDING,6,549,0.20583532606797897,1.1500020348670445e-06
start_thinned,vh_db_mean,ASCENDING,8,549,0.2116326799755126,5.609412460368873e-07
start_thinned,vh_db_mean,ASCENDING,12,549,0.21712816391006518,2.787250581131952e-07
start_thinned,vh_db_mean,ASCENDING,16,549,0.21495484514723096,3.683457182716406e-07
start_thinned,vh_db_mean,DESCENDING,1,561,0.23354372379269966,2.1831103684418806e-08
start_thinned,vh_db_mean,DESCENDING,2,561,0.2488125043572817,2.310892224241166e-09
start_thinned,vh_db_mean,DESCENDING,3,561,0.24153266063507092,6.87099244806224e-09
start_thinned,vh_db_mean,DESCENDING,4,561,0.2380546176715925,1.142358838307667e-08
start_thinned,vh_db_mean,DESCENDING,6,561,0.24759757154127213,2.7785018505897045e-09
start_thinned,vh_db_mean,DESCENDING,8,561,0.2431494106202925,5.4103277856591395e-09
start_thinned,vh_db_mean,DESCENDING,12,561,0.2424572071426471,5.994515567357874e-09
start_thinned,vh_db_mean,DESCENDING,16,561,0.24132067353243694,7.088823050632244e-09
start_thinned,vv_db_mean,ASCENDING,1,549,0.32193564175688855,1.0519691023987914e-14
start_thinned,vv_db_mean,ASCENDING,2,549,0.31867163867966414,2.009270966013879e-14
start_thinned,vv_db_mean,ASCENDING,3,549,0.31333588294102527,5.690056162080471e-14
start_thinned,vv_db_mean,ASCENDING,4,549,0.3107671417090788,9.322531036387712e-14
start_thinned,vv_db_mean,ASCENDING,6,549,0.3145189594105093,4.5254390173265505e-14
start_thinned,vv_db_mean,ASCENDING,8,549,0.308816318340144,1.3520185841473086e-13
start_thinned,vv_db_mean,ASCENDING,12,549,0.3153970474904744,3.815544728400302e-14
start_thinned,vv_db_mean,ASCENDING,16,549,0.31642529095279576,3.122256213076823e-14
start_thinned,vv_db_mean,DESCENDING,1,561,0.33110159532868555,8.07605975114711e-16
start_thinned,vv_db_mean,DESCENDING,2,561,0.3335812463254625,4.776947341273075e-16
start_thinned,vv_db_mean,DESCENDING,3,561,0.33249558554190234,6.015224539326224e-16
start_thinned,vv_db_mean,DESCENDING,4,561,0.3282359633265035,1.4728973275985593e-15
start_thinned,vv_db_mean,DESCENDING,6,561,0.3337317918311804,4.62634745520348e-16
start_thinned,vv_db_mean,DESCENDING,8,561,0.334258905000298,4.1349120294534765e-16
start_thinned,vv_db_mean,DESCENDING,12,561,0.33393925917032447,4.4264261529738015e-16
start_thinned,vv_db_mean,DESCENDING,16,561,0.33113289384127387,8.022947672301224e-16
